,Real
0,98640
10,23820
20,9180
30,0
40,13080
50,4080
60,71940
70,33660
80,4500
90,39480
100,10680
110,11220
120,24000
130,59760
140,37860
150,2460
160,1440
170,111180
180,42960
190,7140
200,8040
210,54780
220,4800
230,19560
240,10080
250,44100
260,8520
270,10380
280,33780
290,1620
300,26340
310,12720
320,330780
330,9240
340,77760
350,2580
360,8700
370,139080
380,30780
390,737580
400,29880
410,46080
420,36300
430,10800
440,70680
450,32820
460,19920
470,73200
480,359820
490,127440
500,24840
510,56700
520,60
530,900
540,60
550,60
560,115020
570,14460
580,22380
590,9180
600,20400
610,11160
620,31020
630,60
640,9780
650,16260
660,70500
670,64440
680,94140
690,41400
700,1740
710,12360
720,19140
730,60
740,9000
750,55800
760,1260
770,60
780,60
790,4740
800,1680
810,20100
820,9840
830,60
840,540
850,40080
860,19260
870,65520
880,15360
890,22800
900,60
910,2460
920,64440
930,7320
940,6720
950,53100
960,6300
970,24000
980,5340
990,60000
