,wait
0,18288
10,33500
20,19209
30,15948
40,28412
50,22075
60,14413
70,14045
80,11918
90,12052
100,17330
110,8621
120,13654
130,17472
140,21383
150,16016
160,9522
170,10288
180,31703
190,11059
200,25164
210,31060
220,28317
230,18085
240,15087
250,25172
260,18897
270,12323
280,16628
290,12496
300,13470
310,26595
320,11039
330,44893
340,16195
350,16067
360,10376
370,3611
380,30433
390,14182
400,104973
410,75316
420,10660
430,29911
440,22072
450,13638
460,16898
470,17221
480,44152
490,124398
500,18777
510,18756
520,17748
530,33314
540,26555
550,17015
560,30294
570,21249
580,44746
590,16982
600,9942
610,12638
620,9508
630,11508
640,24188
650,28011
660,15076
670,16623
680,5446
690,15733
700,11345
710,8143
720,14987
730,29544
740,33479
750,22124
760,10138
770,2486
780,15758
790,16757
800,8028
810,14923
820,8671
830,96747
840,24621
850,21724
860,12129
870,14588
880,18725
890,10733
900,4817
910,36773
920,12598
930,14394
940,7782
950,14115
960,17237
970,6943
980,7739
990,8322
